id;brand;model;version;year;km;sell_price;purchase_price; cilindrada
24;YAMAHA;X-MAX;250;2018;40000;49900;250;21.0
27;HONDA;LEAD;110;2017;12000;20000;107;7.0
31;SUZUKI;GSX;1250 FA;2017;19100;75900;1250;98.0
37;YAMAHA;YZF;R1;2005;50000;46900;998;200.0
40;KAWASAKI;Z;900;2018;22800;65900;948;125.0
51;KAWASAKI;[*AJ*] NINJA;650;2018;10000;57900;649;68.0
59;KAWASAKI;VN;900 CLASSIC;2009;35000;49900;903;50.0
62;SUZUKI;[*AJ*] BURGMAN;125;2009;30000;18900;125;12.0
64;HONDA;CB;500 X ABS;2020;10000;54900;471;47.0
67;YAMAHA;XJ6;600 DIVERSION S ABS;2011;36000;41900;600;78.0
69;KYMCO;[*AJ*] VENOX;250 I;2007;50000;9900;27;250.0
82;HONDA;[*AJ*] CRF-1000L;AFRICA TWIN DCT;2018;60000;93900;998;95.0
85;BMW;[*AJ*] K;1600GTL;2018;20000;179000;1649;160.0
89;HONDA;[*AJ*] CBR;600 F;2006;20000;35900;600;109.0
94;Kawasaki;[*AJ*] W;650;2001;50000;41900;676;50.0
98;SUZUKI;[*AJ*] GS;500 F;2006;60000;14900;500;48.0
99;HONDA;[*AJ*] CBR;600 RR;2019;10000;81900;600;599.0
104;YAMAHA;[*AJ*] T-MAX;530 ABS;2019;20000;91900;530;47.0
111;SUZUKI;[*AJ*] GSX;R 1000;2017;10000;159900;1000;202.0
139;KAWASAKI;[*AJ*] ER;6F ABS;2012;80000;27900;650;72.0
143;HONDA;[*AJ*] SCOOPY;SH 125;2005;50000;12900;125;12.0
165;HONDA;[*AJ*] CB;600 F HORNET;2007;40000;31900;599;114.0
174;HONDA;[*AJ*] X-ADV;750;2019;20000;84900;750;58.0
204;HONDA;FORZA;125;2019;10200;38900;750;59.0
205;SUZUKI;SV;650;2017;28000;42900;645;77.0
210;BMW;R;1200 R;2015;58000;84900;1200;125.0
213;KAWASAKI;Z;900;2020;11000;67900;948;125.0
229;SUZUKI;INTRUDER;125;2007;10500;13900;125;13.0
233;KAWASAKI;VULCAN;S;2020;25520;58900;649;61.0
237;YAMAHA;[*AJ*] T-MAX;500;2002;80000;26900;499;43.0
239;KYMCO;[*AJ*] PEOPLE;125 S;2021;10000;23900;;
240;HONDA;NC;750S DTC ABS;2019;10854;64900;745;54.0
243;HONDA;CB;500 X;2020;28000;48900;471;47.0
247;KAWASAKI;[*AJ*] ZX;6R 636;2006;40000;38900;636;136.0
248;KYMCO;PEOPLE;50 S;2016;16000;9900;50;5.0
249;KAWASAKI;Z;800;2016;19;57900;806;113.0
256;YAMAHA;XVS;650 A DRAG STAR CLASSIC;1997;7000;30900;650;39.0
271;YAMAHA;T-MAX;530;2012;34800;68900;530;46.0
277;KYMCO;SUPER DINK;125 I ABS;2011;35000;18900;125;13.0
282;BMW;C;600 SPORT;2013;17150;54900;600;60.0
299;BMW;[*AJ*] K;1200 LT;1999;80000;54900;1200;98.0
304;HONDA;X-ADV;750;2019;24000;80900;750;58.0
307;KYMCO;SUPER DINK;125 I;2010;32000;19900;125;13.0
309;KAWASAKI;ER;6N;2008;27000;29900;649;72.0
311;YAMAHA;X-MAX;125;2016;76000;20900;125;14.0
326;KYMCO;[*AJ*] GRAND DINK;300 ABS;2018;10000;26900;300;23.0
338;SUZUKI;[*AJ*] VANVAN;125;2017;10000;27900;125;12.0
350;YAMAHA;X-MAX;300;2017;25500;38900;300;28.0
352;BMW;F;800 ST;2008;22551;35900;800;800.0
357;HONDA;[*AJ*] VARADERO;XL 1000V;2003;30000;49900;1000;93.0
360;KAWASAKI;Z;650;2019;9000;48900;650;68.0
364;KYMCO;AGILITY;CITY 125;2021;15500;10900;125;9.0
373;YAMAHA;X-MAX;125 ABS;2021;7000;44900;125;14.0
374;HONDA;SCOOPY;SH 125 i CONFORT DISCO TOPBOX;2021;6000;31900;125;12.0
381;YAMAHA;T-MAX;530;2016;25000;74900;530;46.0
384;YAMAHA;NMAX;125cc;2019;6000;24900;125;12.0
390;KAWASAKI;Z;900;2020;6700;69900;948;125.0
394;BMW;[*AJ*] K;1200 S;2007;40000;65900;1200;
397;YAMAHA;T-MAX;530 ABS;2018;12000;92900;530;46.0
403;YAMAHA;T-MAX;530 ABS;2020;14000;97900;530;46.0
406;YAMAHA;[*AJ*] FZ6;S S2;2007;60000;27900;600;98.0
410;KYMCO;[*AJ*] AGILITY;CITY 125;2020;10000;18900;125;9.0
415;YAMAHA;FZ6;N;2008;45000;25900;600;98.0
418;KAWASAKI;ER;6N;2007;37700;29900;649;72.0
427;SUZUKI;GSR;600;2007;40000;23900;600;98.0
428;HONDA;[*AJ*] CROSSRUNNER;V4;2016;20000;93900;782;101.0
435;BMW;K;1200 RS;2007;95000;35900;10000;1171.0
439;YAMAHA;MT;10;2018;32620;104900;998;165.0
442;KAWASAKI;GTR;1400;2011;72900;92900;1400;155.0
